image,category,label
ISIC_0061059,AK,0
ISIC_0054433,AK,0
ISIC_0069802,AK,0
ISIC_0066466,AK,0
ISIC_0072352,AK,0
ISIC_0065992,AK,0
ISIC_0063536,AK,0
ISIC_0067218,AK,0
ISIC_0030133,AK,0
ISIC_0057987,AK,0
ISIC_0068571,AK,0
ISIC_0053736,AK,0
ISIC_0053538,AK,0
ISIC_0070175,AK,0
ISIC_0058427,AK,0
ISIC_0024948,AK,0
ISIC_0069460,AK,0
ISIC_0073198,AK,0
ISIC_0053799,AK,0
ISIC_0058320,AK,0
ISIC_0072572,AK,0
ISIC_0062692,AK,0
ISIC_0064222,AK,0
ISIC_0059146,AK,0
ISIC_0063890,AK,0
ISIC_0063322,AK,0
ISIC_0058506,AK,0
ISIC_0066360,AK,0
ISIC_0065306,AK,0
ISIC_0063210,AK,0
ISIC_0059250,AK,0
ISIC_0070056,AK,0
ISIC_0058242,AK,0
ISIC_0060230,AK,0
ISIC_0066370,AK,0
ISIC_0064490,AK,0
ISIC_0065070,AK,0
ISIC_0070643,AK,0
ISIC_0033151,AK,0
ISIC_0065450,AK,0
ISIC_0030655,AK,0
ISIC_0060078,AK,0
ISIC_0058762,AK,0
ISIC_0033413,AK,0
ISIC_0029041,AK,0
ISIC_0071711,AK,0
ISIC_0058988,AK,0
ISIC_0056520,AK,0
ISIC_0056724,AK,0
ISIC_0060989,AK,0
ISIC_0067698,AK,0
ISIC_0058640,AK,0
ISIC_0068805,AK,0
ISIC_0065952,AK,0
ISIC_0059852,AK,0
ISIC_0069518,AK,0
ISIC_0060926,AK,0
ISIC_0059540,AK,0
ISIC_0062743,AK,0
ISIC_0067468,AK,0
ISIC_0053563,AK,0
ISIC_0065095,AK,0
ISIC_0032199,AK,0
ISIC_0054531,AK,0
ISIC_0068885,AK,0
ISIC_0068325,AK,0
ISIC_0053666,AK,0
ISIC_0071423,AK,0
ISIC_0060807,AK,0
ISIC_0069925,AK,0
ISIC_0056630,AK,0
ISIC_0068014,AK,0
ISIC_0065203,AK,0
ISIC_0062116,AK,0
ISIC_0064959,AK,0
ISIC_0026650,AK,0
ISIC_0066056,AK,0
ISIC_0065832,AK,0
ISIC_0066913,AK,0
ISIC_0063778,AK,0
ISIC_0029830,AK,0
ISIC_0066006,AK,0
ISIC_0053478,AK,0
ISIC_0066864,AK,0
ISIC_0066988,AK,0
ISIC_0056756,AK,0
ISIC_0061068,AK,0
ISIC_0063883,AK,0
ISIC_0065724,AK,0
ISIC_0028558,AK,0
ISIC_0070895,AK,0
ISIC_0061247,AK,0
ISIC_0063038,AK,0
ISIC_0065495,AK,0
ISIC_0067592,AK,0
ISIC_0065552,AK,0
ISIC_0065538,AK,0
ISIC_0066142,AK,0
ISIC_0057225,AK,0
ISIC_0067945,AK,0
ISIC_0031609,AK,0
ISIC_0070507,AK,0
ISIC_0061307,AK,0
ISIC_0056920,AK,0
ISIC_0054081,AK,0
ISIC_0060122,AK,0
ISIC_0030825,AK,0
ISIC_0054634,AK,0
ISIC_0072986,AK,0
ISIC_0056128,AK,0
ISIC_0065304,AK,0
ISIC_0070510,AK,0
ISIC_0031506,AK,0
ISIC_0071953,AK,0
ISIC_0054359,AK,0
ISIC_0059720,AK,0
ISIC_0071535,AK,0
ISIC_0058103,AK,0
ISIC_0030142,AK,0
ISIC_0071490,AK,0
ISIC_0054635,AK,0
ISIC_0062593,AK,0
ISIC_0062609,AK,0
ISIC_0068354,AK,0
ISIC_0061298,AK,0
ISIC_0061814,AK,0
ISIC_0058443,AK,0
ISIC_0057740,AK,0
ISIC_0028517,AK,0
ISIC_0068892,AK,0
ISIC_0065741,AK,0
ISIC_0055250,AK,0
ISIC_0064617,AK,0
ISIC_0026984,AK,0
ISIC_0067394,AK,0
ISIC_0054592,AK,0
ISIC_0031228,AK,0
ISIC_0068989,AK,0
ISIC_0069904,AK,0
ISIC_0058494,AK,0
ISIC_0063878,AK,0
ISIC_0071946,AK,0
ISIC_0061121,AK,0
ISIC_0061787,AK,0
ISIC_0072830,AK,0
ISIC_0061410,AK,0
ISIC_0026212,AK,0
ISIC_0055609,AK,0
ISIC_0026857,AK,0
ISIC_0056002,AK,0
ISIC_0072514,AK,0
ISIC_0054921,AK,0
ISIC_0053879,AK,0
ISIC_0072754,AK,0
ISIC_0031922,AK,0
ISIC_0056073,AK,0
ISIC_0054687,AK,0
ISIC_0053749,AK,0
ISIC_0060775,AK,0
ISIC_0029781,AK,0
ISIC_0071449,AK,0
ISIC_0056037,AK,0
ISIC_0070486,AK,0
ISIC_0068507,AK,0
ISIC_0032206,AK,0
ISIC_0058239,AK,0
ISIC_0058939,AK,0
ISIC_0070499,AK,0
ISIC_0064553,AK,0
ISIC_0054689,AK,0
ISIC_0057357,AK,0
ISIC_0065413,AK,0
ISIC_0062024,AK,0
ISIC_0057847,AK,0
ISIC_0066272,AK,0
ISIC_0028063,AK,0
ISIC_0026171,AK,0
ISIC_0064063,AK,0
ISIC_0063037,AK,0
ISIC_0069759,AK,0
ISIC_0056052,AK,0
ISIC_0070297,AK,0
ISIC_0062766,AK,0
ISIC_0068419,AK,0
ISIC_0053506,AK,0
ISIC_0061667,AK,0
ISIC_0068522,AK,0
ISIC_0057547,AK,0
ISIC_0028941,AK,0
ISIC_0064951,AK,0
ISIC_0071320,AK,0
ISIC_0030463,AK,0
ISIC_0063331,AK,0
ISIC_0056419,AK,0
ISIC_0065301,AK,0
ISIC_0063573,AK,0
ISIC_0063122,AK,0
ISIC_0056504,AK,0
ISIC_0063442,AK,0
ISIC_0066180,AK,0
ISIC_0055374,AK,0
ISIC_0067150,AK,0
ISIC_0064583,AK,0
ISIC_0029713,AK,0
ISIC_0058769,AK,0
ISIC_0071020,AK,0
ISIC_0067177,AK,0
ISIC_0062159,AK,0
ISIC_0061687,AK,0
ISIC_0054271,AK,0
ISIC_0059800,AK,0
ISIC_0071015,AK,0
ISIC_0059372,AK,0
ISIC_0060509,AK,0
ISIC_0072038,AK,0
ISIC_0056115,AK,0
ISIC_0062212,AK,0
ISIC_0072847,AK,0
ISIC_0056582,AK,0
ISIC_0069027,AK,0
ISIC_0056159,AK,0
ISIC_0065169,AK,0
ISIC_0060098,AK,0
ISIC_0060235,AK,0
ISIC_0057110,AK,0
ISIC_0060337,AK,0
ISIC_0069789,AK,0
ISIC_0063287,AK,0
ISIC_0062272,AK,0
ISIC_0066278,AK,0
ISIC_0061285,AK,0
ISIC_0065470,AK,0
ISIC_0065476,AK,0
ISIC_0060546,AK,0
ISIC_0068977,AK,0
ISIC_0027668,AK,0
ISIC_0057022,AK,0
ISIC_0066374,AK,0
ISIC_0055099,AK,0
ISIC_0056302,AK,0
ISIC_0065312,AK,0
ISIC_0031040,AK,0
ISIC_0068653,AK,0
ISIC_0055889,AK,0
ISIC_0062245,AK,0
ISIC_0059789,AK,0
ISIC_0069544,AK,0
ISIC_0058653,AK,0
ISIC_0060593,AK,0
ISIC_0033494,AK,0
ISIC_0058639,AK,0
ISIC_0057616,AK,0
ISIC_0065416,AK,0
ISIC_0070484,AK,0
ISIC_0069772,AK,0
ISIC_0068995,AK,0
ISIC_0058902,AK,0
ISIC_0032135,AK,0
ISIC_0062586,AK,0
ISIC_0056773,AK,0
ISIC_0069898,AK,0
ISIC_0057145,AK,0
ISIC_0025957,AK,0
ISIC_0053515,AK,0
ISIC_0067676,AK,0
ISIC_0067755,AK,0
ISIC_0068722,AK,0
ISIC_0061376,AK,0
ISIC_0065276,AK,0
ISIC_0071186,AK,0
ISIC_0058593,AK,0
ISIC_0070713,AK,0
ISIC_0058192,AK,0
ISIC_0057679,AK,0
ISIC_0069917,AK,0
ISIC_0054908,AK,0
ISIC_0068648,AK,0
ISIC_0030826,AK,0
ISIC_0069532,AK,0
ISIC_0028619,AK,0
ISIC_0026575,AK,0
ISIC_0060269,AK,0
ISIC_0024654,AK,0
ISIC_0059198,AK,0
ISIC_0029210,AK,0
ISIC_0071062,AK,0
ISIC_0064796,AK,0
ISIC_0057477,AK,0
ISIC_0072584,AK,0
ISIC_0060116,AK,0
ISIC_0033358,AK,0
ISIC_0062878,AK,0
ISIC_0024913,AK,0
ISIC_0061582,AK,0
ISIC_0065125,AK,0
ISIC_0065811,AK,0
ISIC_0072307,AK,0
ISIC_0061968,AK,0
ISIC_0062741,AK,0
ISIC_0028393,AK,0
ISIC_0073214,AK,0
ISIC_0062345,AK,0
ISIC_0055689,AK,0
ISIC_0028370,AK,0
ISIC_0066452,AK,0
ISIC_0071762,AK,0
ISIC_0057387,AK,0
ISIC_0026525,AK,0
ISIC_0071619,AK,0
ISIC_0064151,AK,0
ISIC_0053944,AK,0
ISIC_0033705,AK,0
ISIC_0071982,AK,0
ISIC_0058153,AK,0
ISIC_0057586,AK,0
ISIC_0062104,AK,0
ISIC_0066895,AK,0
ISIC_0031993,AK,0
ISIC_0063712,AK,0
ISIC_0066391,AK,0
ISIC_0072992,AK,0
ISIC_0067377,AK,0
ISIC_0029025,AK,0
ISIC_0061499,AK,0
ISIC_0057806,AK,0
ISIC_0070737,AK,0
ISIC_0063187,AK,0
ISIC_0059799,AK,0
ISIC_0026625,AK,0
ISIC_0059759,AK,0
ISIC_0053664,AK,0
ISIC_0025605,AK,0
ISIC_0066595,AK,0
ISIC_0067432,AK,0
ISIC_0069120,AK,0
ISIC_0071779,AK,0
ISIC_0027802,AK,0
ISIC_0070999,AK,0
ISIC_0067266,AK,0
ISIC_0057157,AK,0
ISIC_0071213,AK,0
ISIC_0069265,AK,0
ISIC_0065052,AK,0
ISIC_0064322,AK,0
ISIC_0065118,AK,0
ISIC_0061331,AK,0
ISIC_0057943,AK,0
ISIC_0066819,AK,0
ISIC_0064231,AK,0
ISIC_0072676,AK,0
ISIC_0066858,AK,0
ISIC_0062184,AK,0
ISIC_0062877,AK,0
ISIC_0028190,AK,0
ISIC_0067113,AK,0
ISIC_0026848,AK,0
ISIC_0056016,AK,0
ISIC_0071932,AK,0
ISIC_0058324,AK,0
ISIC_0055260,AK,0
ISIC_0029500,AK,0
ISIC_0073130,AK,0
ISIC_0060636,AK,0
ISIC_0057431,AK,0
ISIC_0068395,AK,0
ISIC_0068607,AK,0
ISIC_0061730,AK,0
ISIC_0031108,AK,0
ISIC_0026149,AK,0
ISIC_0062508,AK,0
ISIC_0071690,AK,0
ISIC_0072861,AK,0
ISIC_0027254,AK,0
ISIC_0061044,AK,0
ISIC_0057077,AK,0
ISIC_0069818,AK,0
ISIC_0066509,AK,0
ISIC_0069906,AK,0
ISIC_0054583,AK,0
ISIC_0057280,AK,0
ISIC_0064638,AK,0
ISIC_0053738,AK,0
ISIC_0065584,AK,0
ISIC_0024800,AK,0
ISIC_0060404,AK,0
ISIC_0066861,AK,0
ISIC_0068086,AK,0
ISIC_0067632,AK,0
ISIC_0025803,AK,0
ISIC_0069211,AK,0
ISIC_0056437,AK,0
ISIC_0066973,AK,0
ISIC_0071007,AK,0
ISIC_0067759,AK,0
ISIC_0065661,AK,0
ISIC_0058163,AK,0
ISIC_0057739,AK,0
ISIC_0031430,AK,0
ISIC_0070195,AK,0
ISIC_0066507,AK,0
ISIC_0067519,AK,0
ISIC_0032422,AK,0
ISIC_0057517,AK,0
ISIC_0029309,AK,0
ISIC_0068370,AK,0
ISIC_0062346,AK,0
ISIC_0059827,AK,0
ISIC_0061365,AK,0
ISIC_0069916,AK,0
ISIC_0067425,AK,0
ISIC_0055908,AK,0
ISIC_0063435,AK,0
ISIC_0071417,AK,0
ISIC_0070981,AK,0
ISIC_0064211,AK,0
ISIC_0065633,AK,0
ISIC_0070302,AK,0
ISIC_0065329,AK,0
ISIC_0058924,AK,0
ISIC_0070243,AK,0
ISIC_0068377,AK,0
ISIC_0055331,AK,0
ISIC_0072741,AK,0
ISIC_0062953,AK,0
ISIC_0067799,AK,0
ISIC_0053595,AK,0
ISIC_0070311,AK,0
ISIC_0059572,AK,0
ISIC_0030730,AK,0
ISIC_0063052,AK,0
ISIC_0070232,AK,0
ISIC_0066546,AK,0
ISIC_0056662,AK,0
ISIC_0067783,AK,0
ISIC_0070650,AK,0
ISIC_0057135,AK,0
ISIC_0053597,AK,0
ISIC_0072089,AK,0
ISIC_0058951,AK,0
ISIC_0028854,AK,0
ISIC_0066315,AK,0
ISIC_0067855,AK,0
ISIC_0060522,AK,0
ISIC_0056101,AK,0
ISIC_0068845,AK,0
ISIC_0067728,AK,0
ISIC_0056905,AK,0
ISIC_0064735,AK,0
ISIC_0057706,AK,0
ISIC_0064587,AK,0
ISIC_0062255,AK,0
ISIC_0070754,AK,0
ISIC_0063019,AK,0
ISIC_0030491,AK,0
ISIC_0065611,AK,0
ISIC_0063956,AK,0
ISIC_0027580,AK,0
ISIC_0071256,AK,0
ISIC_0057038,AK,0
ISIC_0071669,AK,0
ISIC_0062123,AK,0
ISIC_0073068,AK,0
ISIC_0053688,AK,0
ISIC_0069719,AK,0
ISIC_0058598,AK,0
ISIC_0062036,AK,0
ISIC_0054209,AK,0
ISIC_0065612,AK,0
ISIC_0070260,AK,0
ISIC_0069282,AK,0
ISIC_0055452,AK,0
ISIC_0070877,AK,0
ISIC_0027172,AK,0
ISIC_0056421,AK,0
ISIC_0054594,AK,0
ISIC_0066892,AK,0
ISIC_0056273,AK,0
ISIC_0069194,AK,0
ISIC_0060729,AK,0
ISIC_0069289,AK,0
ISIC_0067490,AK,0
ISIC_0031292,AK,0
ISIC_0073045,AK,0
ISIC_0067450,AK,0
ISIC_0029659,AK,0
ISIC_0073035,AK,0
ISIC_0055989,AK,0
ISIC_0027452,AK,0
ISIC_0071524,AK,0
ISIC_0033456,AK,0
ISIC_0063798,AK,0
ISIC_0063178,AK,0
ISIC_0027884,AK,0
ISIC_0061464,AK,0
ISIC_0064330,AK,0
ISIC_0072180,AK,0
ISIC_0060157,AK,0
ISIC_0062408,AK,0
ISIC_0072265,AK,0
ISIC_0027615,AK,0
ISIC_0072018,AK,0
ISIC_0063361,AK,0
ISIC_0030344,AK,0
ISIC_0065078,AK,0
ISIC_0072814,AK,0
ISIC_0024707,AK,0
ISIC_0027334,AK,0
ISIC_0059014,AK,0
ISIC_0056005,AK,0
ISIC_0068360,AK,0
ISIC_0058459,AK,0
ISIC_0057052,AK,0
ISIC_0059588,AK,0
ISIC_0066762,AK,0
ISIC_0030242,AK,0
ISIC_0072152,AK,0
ISIC_0065120,AK,0
ISIC_0066395,AK,0
ISIC_0064196,AK,0
ISIC_0063964,BCC,1
ISIC_0073010,BCC,1
ISIC_0064310,BCC,1
ISIC_0060429,BCC,1
ISIC_0064459,BCC,1
ISIC_0068338,BCC,1
ISIC_0054120,BCC,1
ISIC_0059243,BCC,1
ISIC_0058680,BCC,1
ISIC_0061456,BCC,1
ISIC_0071235,BCC,1
ISIC_0071960,BCC,1
ISIC_0062791,BCC,1
ISIC_0057937,BCC,1
ISIC_0031413,BCC,1
ISIC_0061511,BCC,1
ISIC_0069649,BCC,1
ISIC_0070853,BCC,1
ISIC_0025601,BCC,1
ISIC_0063923,BCC,1
ISIC_0063158,BCC,1
ISIC_0067832,BCC,1
ISIC_0057318,BCC,1
ISIC_0054240,BCC,1
ISIC_0024795,BCC,1
ISIC_0055471,BCC,1
ISIC_0055875,BCC,1
ISIC_0025433,BCC,1
ISIC_0053815,BCC,1
ISIC_0072851,BCC,1
ISIC_0064556,BCC,1
ISIC_0065648,BCC,1
ISIC_0070836,BCC,1
ISIC_0070997,BCC,1
ISIC_0055111,BCC,1
ISIC_0026453,BCC,1
ISIC_0054202,BCC,1
ISIC_0057442,BCC,1
